reference_year,date,name,region,establishment_code,establishment,source
2025-2026,2026-01-01,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-10-02,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2026-04-03,Vendredi saint,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2026-04-02,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-05-18,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-06-24,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-07-01,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-09-07,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-10-12,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-12-24,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-12-25,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-09-11,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-12-31,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2027-01-01,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2026-09-21,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2027-03-26,Vendredi saint,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2026-2027,2027-04-22,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
